,id,tipo,nombre,mes_estreno,anio_estreno,Genero
0,tt10408218,Movie,Pizzodyssey (2024),2.0,2024.0,Comedy
1,tt11152168,Movie,"Louis Gossett Jr., Ryan Reynolds, Sam Rockwell, Steve Carell, Bill Hader, John Krasinski, Emily Blunt, Phoebe Waller-Bridge, and Cailey Fleming in Amigos imaginarios (2024)",5.0,2024.0,Comedy
2,tt12975102,Movie,"Olivia d'Abo, J.D. Buckwell, Eileen Dietz, Sean Kenney, Laurene Landon, Kelli Maroney, Tracee Cocco, Catherine LaSalle, Bill Victor Arucan, Lilly Ivring, Mark Brenes, and Bailey Sorrel in Staycation (2024)",11.0,2024.0,Comedy
3,tt13036100,Movie,Broken Glass (2024),2.0,2024.0,Comedy
4,tt13176330,Movie,"Flavor Flav, RuPaul, Jason Sudeikis, Rainn Wilson, Hannah Gadsby, Anitta, and Lilly Singh in Hitpig! (2024)",11.0,2024.0,Comedy
5,tt13622970,Movie,"David Fane, Dwayne Johnson, Alan Tudyk, Hualalai Chung, and Auli'i Cravalho in Moana 2 (2024)",11.0,2024.0,Comedy
6,tt14257662,Movie,"MoviePass, MovieCrash (2024)",5.0,2024.0,Comedy
7,tt14478740,Movie,Rhapsody in Justice (2024),8.0,2024.0,Comedy
8,tt15005992,Movie,Gene Mookie Cunningham in Daddy U Misspelled Father (2022),Desconocido,2024.0,Comedy
9,tt15009428,Movie,"Samuel L. Jackson, Catherine O'Hara, Sam Rockwell, Henry Cavill, Bryan Cranston, Bryce Dallas Howard, John Cena, Chip, Ariana DeBose, and Dua Lipa in Argylle (2024)",2.0,2024.0,Comedy
10,tt15127142,Movie,"Rebecca Danae, Trinity Somerset, and Atvty in Nothing Unusual (2024)",10.0,2024.0,Comedy
11,tt15535164,Movie,Sunset Shimmer in Sunset Shimmer and the Acidic Universe of Makori (2024),12.0,2024.0,Comedy
12,tt1609486,Movie,Zachary Levi in Harold and the Purple Crayon (2024),8.0,2024.0,Comedy
13,tt5834410,Movie,Brandon Soo Hoo and Henry Golding in The Tiger's Apprentice (2024),2.0,2024.0,Comedy
14,tt8228656,Movie,"Per Christian Ellefsen, Stig Henrik Hoff, Nikis Theophilakis, Eivind Sander, Helene Eidsvåg, and Trim Balaj in Døde menn går på ski (2024)",3.0,2024.0,Comedy
15,tt18340690,Movie,Luna in Love (2024),12.0,2024.0,Comedy
16,tt20029232,Movie,The Inn (2024),Desconocido,2024.0,Comedy
17,tt20407238,Movie,"Gianluca Brundo, Silvia Fiorentini, and Gabriele Valentini in The Dream Fisher (2024)",9.0,2024.0,Comedy
18,tt20453194,Movie,The Satire (2024),12.0,2024.0,Comedy
19,tt20721318,Movie,Kholop 2 (2024),1.0,2024.0,Comedy
20,tt21235248,Movie,"Paul Rudd, Kevin Mangold, Ian Whyte, Carrie Coon, Mckenna Grace, Finn Wolfhard, and Celeste O'Connor in Ghostbusters: Frozen Empire (2024)",4.0,2024.0,Comedy
21,tt21692408,Movie,"Dustin Hoffman, Jack Black, Bryan Cranston, Viola Davis, James Hong, Ian McShane, Cece Valentina, Lincoln Nakamura, and Awkwafina in Kung Fu Panda 4 (2024)",3.0,2024.0,Comedy
22,tt21957774,Movie,"Lindsay Lohan, Ed Speleers, and Alexander Vlahos in Irish Wish (2024)",3.0,2024.0,Comedy
23,tt22022452,Movie,"Lewis Black, Tony Hale, Liza Lapira, Amy Poehler, Phyllis Smith, Maya Hawke, Adèle Exarchopoulos, Paul Walter Hauser, and Ayo Edebiri in Întors pe dos 2 (2024)",6.0,2024.0,Comedy
24,tt24224490,Movie,Üç Günlük Dünya (2024),5.0,2024.0,Comedy
25,tt24516554,Movie,Filme Gel (2024),1.0,2024.0,Comedy
26,tt26695297,Movie,"Mohammed Chaara, Daphne Deckers, Emma Deckers, Ferdi Stofmeel, Melisa Pamuk, and Sinan Eroglu in Scotoe (2024)",2.0,2024.0,Comedy
27,tt26777092,Movie,This is Cinema (2024),5.0,2024.0,Comedy
28,tt26932223,Movie,Bhool Bhulaiyaa 3 (2024),11.0,2024.0,Comedy
29,tt27459160,Movie,Shahid Kapoor and Kriti Sanon in Teri Baaton Mein Aisa Uljha Jiya (2024),2.0,2024.0,Comedy
30,tt27510174,Movie,Stree 2 (2024),8.0,2024.0,Comedy
31,tt27534211,Movie,The Big Trip 3: Race Around the World (2024),7.0,2024.0,Comedy
32,tt27626427,Movie,Vampyr: Part One - Terrence (2024),4.0,2024.0,Comedy
